"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6867","Testing user: performance_glitch_user","","Wed Jan 21 15:40:14 UTC 2026","passed","Wed Jan 21 15:40:21 UTC 2026","","Youverify CI Stability Suite","",""
"","663","Testing user: problem_user","","Wed Jan 21 15:40:13 UTC 2026","passed","Wed Jan 21 15:40:14 UTC 2026","","Youverify CI Stability Suite","",""
"","2569","Testing user: standard_user","","Wed Jan 21 15:40:09 UTC 2026","passed","Wed Jan 21 15:40:12 UTC 2026","","Youverify CI Stability Suite","",""
"","2045","should find a product and complete checkout using fixture data","","Wed Jan 21 15:40:22 UTC 2026","passed","Wed Jan 21 15:40:24 UTC 2026","","Specific Product Search & Checkout","",""
"","811","Testing user: locked_out_user","","Wed Jan 21 15:40:12 UTC 2026","passed","Wed Jan 21 15:40:13 UTC 2026","","Youverify CI Stability Suite","",""
"","4800","should find the Bolt T-Shirt and complete checkout","","Wed Jan 21 12:00:11 UTC 2026","passed","Wed Jan 21 12:00:16 UTC 2026","","Specific Product Search & Checkout","",""
