"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2326","Testing user: standard_user","","Wed Jan 21 15:28:14 UTC 2026","passed","Wed Jan 21 15:28:16 UTC 2026","","Youverify CI Stability Suite","",""
"","684","Testing user: problem_user","","Wed Jan 21 15:28:17 UTC 2026","passed","Wed Jan 21 15:28:18 UTC 2026","","Youverify CI Stability Suite","",""
"","6877","Testing user: performance_glitch_user","","Wed Jan 21 15:28:18 UTC 2026","passed","Wed Jan 21 15:28:25 UTC 2026","","Youverify CI Stability Suite","",""
"","2202","should find a product and complete checkout using fixture data","","Wed Jan 21 15:28:27 UTC 2026","passed","Wed Jan 21 15:28:29 UTC 2026","","Specific Product Search & Checkout","",""
"","819","Testing user: locked_out_user","","Wed Jan 21 15:28:16 UTC 2026","passed","Wed Jan 21 15:28:17 UTC 2026","","Youverify CI Stability Suite","",""
"","4800","should find the Bolt T-Shirt and complete checkout","","Wed Jan 21 12:00:11 UTC 2026","passed","Wed Jan 21 12:00:16 UTC 2026","","Specific Product Search & Checkout","",""
