"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2322","Testing user: standard_user","","Wed Jan 21 12:37:57 UTC 2026","passed","Wed Jan 21 12:37:59 UTC 2026","","Youverify CI Stability Suite","",""
"","2237","should find the Bolt T-Shirt and complete checkout","","Wed Jan 21 12:38:09 UTC 2026","passed","Wed Jan 21 12:38:11 UTC 2026","","Specific Product Search & Checkout","",""
"","6895","Testing user: performance_glitch_user","","Wed Jan 21 12:38:00 UTC 2026","passed","Wed Jan 21 12:38:07 UTC 2026","","Youverify CI Stability Suite","",""
"","689","Testing user: problem_user","","Wed Jan 21 12:38:00 UTC 2026","passed","Wed Jan 21 12:38:00 UTC 2026","","Youverify CI Stability Suite","",""
"","832","Testing user: locked_out_user","","Wed Jan 21 12:37:59 UTC 2026","passed","Wed Jan 21 12:38:00 UTC 2026","","Youverify CI Stability Suite","",""
