"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2978","Testing user: standard_user","","Wed Jan 21 16:41:31 UTC 2026","passed","Wed Jan 21 16:41:34 UTC 2026","","Youverify CI Stability Suite","",""
"","6751","Testing user: performance_glitch_user","","Wed Jan 21 16:41:35 UTC 2026","passed","Wed Jan 21 16:41:42 UTC 2026","","Youverify CI Stability Suite","",""
"","2125","should find a product and complete checkout using fixture data","","Wed Jan 21 16:41:44 UTC 2026","passed","Wed Jan 21 16:41:46 UTC 2026","","Specific Product Search & Checkout","",""
"","871","Testing user: locked_out_user","","Wed Jan 21 16:41:34 UTC 2026","passed","Wed Jan 21 16:41:35 UTC 2026","","Youverify CI Stability Suite","",""
"","4800","should find the Bolt T-Shirt and complete checkout","","Wed Jan 21 12:00:11 UTC 2026","passed","Wed Jan 21 12:00:16 UTC 2026","","Specific Product Search & Checkout","",""
"","672","Testing user: problem_user","","Wed Jan 21 16:41:35 UTC 2026","passed","Wed Jan 21 16:41:35 UTC 2026","","Youverify CI Stability Suite","",""
